Date,Ambrosia,Artemisia,Asteraceae,Alnus,Betula,Ericaceae,Carpinus,Castanea,Quercus,Chenopodium,Cupressaceae,Acer,Fraxinus,Gramineae,Fagus,Juncaceae,Aesculus,Larix,Corylus,Juglans,Umbellifereae,Ulmus,Urtica,Rumex,Populus,Pinaceae,Plantago,Platanus,Salix,Cyperaceae,Filipendula,Sambucus,Tilia,MaxAirTempC,MinAirTempC,PrecipitationC,NumWeek
2014-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,15.600000381469727,6.199999809265137,0,23
2012-05-26,0,0,0,0,3,0,0,0,0,0,0,1,0,73,0,0,0,0,0,0,0,0,12,8,0,117,0,5,0,0,0,73,0,24,12.800000190734863,0,21
2007-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20000000298023224,-4.300000190734863,0,4
2001-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.300000190734863,0,7.099999904632568,47
2018-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.100000381469727,1.399999976158142,4.599999904632568,31
1992-05-23,0,0,0,0,4,0,0,0,84,0,1,6,0,71,14,2,1,0,0,5,0,0,6,15,0,511,4,2,0,0,0,0,0,25.600000381469727,14.300000190734863,0,21
2009-07-06,0,0,0,0,0,0,0,15,0,0,9,0,0,11,0,0,0,0,0,0,0,0,28,1,0,0,1,0,0,0,0,0,4,16.799999237060547,8.800000190734863,3.5,28
2014-06-02,0,0,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,2,3,0,2,8,0,0,0,0,0,0,8.199999809265137,4.400000095367432,0.699999988079071,23
1997-08-18,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,86,0,0,0,0,0,0,0,3,0,0,28.700000762939453,16.5,2.0999999046325684,34
1996-09-18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.600000381469727,4.400000095367432,0,38
2004-05-18,0,0,0,0,1,0,0,0,154,0,0,0,0,29,4,0,0,0,0,7,0,0,2,2,0,121,1,0,0,0,0,0,0,24.200000762939453,12.199999809265137,0,21
2015-07-02,0,0,0,0,0,0,0,34,0,1,0,0,0,53,0,1,0,0,0,0,1,0,145,1,0,10,4,0,0,0,0,2,0,3.0999999046325684,-5.300000190734863,0,27
2017-03-21,0,0,0,3,1,0,0,0,0,0,4,0,22,0,0,0,0,0,5,0,0,5,0,0,1,0,0,0,10,0,0,0,0,9.100000381469727,1.7000000476837158,4.800000190734863,12
2009-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.100000381469727,8.899999618530273,0,2
1993-02-28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7000000476837158,-5.800000190734863,0,8
2003-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5999999046325684,0.800000011920929,0.8999999761581421,3
2017-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19.399999618530273,8.399999618530273,0,39
2000-01-31,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.100000381469727,6.5,0,5
1998-08-18,0,3,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,77,1,0,0,0,0,0,0,3,0,0,27.299999237060547,11.899999618530273,0,34
1992-07-04,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,7,12.699999809265137,2.299999952316284,0,27
2011-04-10,0,0,0,0,360,0,79,0,3,0,5,1,30,1,173,0,0,2,0,0,0,0,0,0,0,5,0,6,3,0,0,0,0,21.100000381469727,11,0,14
2015-08-07,0,3,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,65,0,0,0,2,0,0,0,1,0,0,18.600000381469727,12.399999618530273,0.30000001192092896,32
1999-03-27,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,68,0,0,0,0,7.599999904632568,1.7000000476837158,11.100000381469727,12
2004-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.700000762939453,11.399999618530273,0,2
2009-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,1,0,0,15.899999618530273,9.300000190734863,8.800000190734863,37
1998-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,-2.0999999046325684,0.6000000238418579,4
2003-03-22,0,0,0,16,0,0,0,0,0,0,68,0,2,0,0,0,0,1,4,0,0,3,0,0,3,0,0,0,21,0,0,0,0,13.800000190734863,-0.8999999761581421,0,12
2010-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.399999976158142,-7.199999809265137,1.899999976158142,4
2004-04-15,0,0,0,0,426,0,278,0,0,0,57,1,154,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,16.5,5.5,0,16
2012-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,2,3,0,127,1,0,0,0,0,0,0,21.5,12,1.399999976158142,20
2008-08-21,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,47,0,0,0,2,0,0,0,2,0,0,21.399999618530273,11.5,0,34
1997-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.900000095367432,-14.699999809265137,2,5
2008-04-22,0,0,0,0,1536,0,3,0,2,0,9,0,148,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15.5,8.600000381469727,0,17
1998-04-14,0,0,0,0,30,0,12,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.300000190734863,-2.799999952316284,0.6000000238418579,16
2013-09-03,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,1,0,65,1,0,0,0,0,0,0,0,0,0,13.100000381469727,4.800000190734863,0,36
2008-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,15.199999809265137,6,0,24
1996-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.300000190734863,0,4
2014-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,2,1,0,4,1,0,0,0,0,2,0,20.200000762939453,7.300000190734863,0,22
2015-07-07,0,0,0,0,0,0,0,20,0,0,0,0,0,19,0,0,0,0,0,0,0,0,34,0,0,0,2,0,0,0,0,2,0,32.20000076293945,14.600000381469727,0.800000011920929,28
2002-07-07,0,0,0,0,0,0,0,11,0,1,0,0,0,16,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,2,0,0,22.200000762939453,13.199999809265137,0,27
2017-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,3,0,4,7.199999809265137,-0.20000000298023224,0.800000011920929,23
2004-09-21,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,2,0,0,16,10.199999809265137,0.30000001192092896,39
